title,street,city,country_code,address_text,marker_icon,workplace_type,company_name,company_url,company_size,experience_level,latitude,longitude,published_at,remote_interview,id,employment_types,company_logo_url,skills,remote
PHP Developer,Pijarska 9,Kraków,PL,"Pijarska 9, Kraków",php,remote,FELG Software,https://felgdent.com,25>,mid,50.0652065,19.9388421,2021-12-20 09:05:00+00:00,True,felg-software-php-developer,"[{'type': 'b2b', 'salary': {'from': 6500, 'to': 12000, 'currency': 'pln'}}, {'type': 'permanent', 'salary': {'from': 6500, 'to': 10000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/0805b49ce5257ae7b0dce5c0561284d58e348eb1.png?1638872727,"[{'name': 'Zend Framework', 'level': 3}, {'name': 'MySQL', 'level': 3}, {'name': 'HTML5', 'level': 3}]",True
.Net Developer,Arkońska 6/A3,Gdańsk,PL,"Arkońska 6/A3, Gdańsk",net,remote,GetResponse,https://careers.getresponse.com,200-350,mid,54.4051115,18.5773871,2021-12-20 09:03:00+00:00,True,getresponse-net-developer,"[{'type': 'b2b', 'salary': None}, {'type': 'permanent', 'salary': None}]",https://bucket.justjoin.it/offers/company_logos/thumb/4b01f2acfc8ab76c7eea11cc7c63e23e1c4677de.jpg?1625479163,"[{'name': 'Azure', 'level': 4}, {'name': 'Cloud', 'level': 4}, {'name': '.Net', 'level': 4}]",True
Data Engineer,Bonifraterska 17,Warszawa,PL,"Bonifraterska 17, Warszawa",data,remote,Emerge Soft,http://www.emergesoft.com,50-100,mid,52.2296756,21.0122287,2021-12-20 09:03:00+00:00,True,emerge-soft-data-engineer,"[{'type': 'b2b', 'salary': {'from': 12500, 'to': 18500, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/951caa38fbe16cfb6438968aab2a2e30bf17d545.png?1636469652,"[{'name': 'BigQuery', 'level': 3}, {'name': 'Apache Beam', 'level': 3}, {'name': 'Dataflow', 'level': 3}]",True
Software Engineer,Koszykowa 65,Warszawa,PL,"Koszykowa 65, Warszawa",java,remote,Tink,http://www.tink.com,400+,mid,52.222627,21.0101566,2021-12-20 09:03:00+00:00,True,tink-software-engineer,"[{'type': 'b2b', 'salary': {'from': 16000, 'to': 28000, 'currency': 'pln'}}, {'type': 'permanent', 'salary': {'from': 12000, 'to': 24000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/7e4f9ea4aace18e50c31329e488d9fd82ee16f88.png?1611320172,"[{'name': 'HTTP protocol', 'level': 3}, {'name': 'REST API', 'level': 3}, {'name': 'Java 8', 'level': 3}]",True
Młodszy Programista .NET,Rocha 5,Białystok,PL,"Rocha 5, Białystok",net,office,Tide Software Sp. z o.o.,https://www.tidesoftware.pl/,11-50,junior,53.1337906,23.1445523,2021-12-20 09:03:00+00:00,True,tide-software-sp-z-o-o-mlodszy-programista-net,"[{'type': 'permanent', 'salary': {'from': 4000, 'to': 7000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/d1b6b5f869d1aefb52950214abef2698fba2ee32.png?1634813125,"[{'name': 'Git', 'level': 2}, {'name': 'C#', 'level': 2}, {'name': 'ASP.NET', 'level': 2}]",False
Backend Developer,Centrum,Gdańsk,PL,"Centrum, Gdańsk",javascript,remote,Nabthat,http://www.nabthat.com,15,mid,54.3871819,18.5942542,2021-12-20 09:02:00+00:00,True,nabthat-backend-developer-gdansk,"[{'type': 'permanent', 'salary': {'from': 12000, 'to': 20000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/4ab5fa2972f6b0ae25a7fce77d1098576b515a24.png?1639665042,"[{'name': 'Ruby on Rails', 'level': 3}, {'name': 'TypeScript', 'level': 4}, {'name': 'JavaScript', 'level': 4}]",True
Backend Developer,Zlota,Warszawa,PL,"Zlota, Warszawa",javascript,remote,Nabthat,http://www.nabthat.com,15,mid,52.2311031,21.003493,2021-12-20 09:02:00+00:00,True,nabthat-backend-developer,"[{'type': 'permanent', 'salary': {'from': 12000, 'to': 20000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/feb583093eaa4ff057a98c4b5371e3cc3c40acf7.png?1639648264,"[{'name': 'Ruby on Rails', 'level': 3}, {'name': 'TypeScript', 'level': 4}, {'name': 'JavaScript', 'level': 4}]",True
Backend Developer,Centrum,Katowice,PL,"Centrum, Katowice",javascript,remote,Nabthat,http://www.nabthat.com,15,mid,50.2710589,19.0057012,2021-12-20 09:00:00+00:00,True,nabthat-backend-developer-katowice,"[{'type': 'permanent', 'salary': {'from': 12000, 'to': 20000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/8291f6cfadc61d8bacde464c2ff86ea4f011a4ca.png?1639665362,"[{'name': 'Ruby on Rails', 'level': 3}, {'name': 'TypeScript', 'level': 4}, {'name': 'JavaScript', 'level': 4}]",True
Senior Threat Hunter/Analyst,Maraton Business Center,Poznań,PL,"Maraton Business Center, Poznań",security,office,ExpressVPN,https://www.expressvpn.com,100+,senior,52.3989947,16.9313417,2021-12-20 08:46:00+00:00,False,expressvpn-senior-threat-hunter-analyst,"[{'type': 'permanent', 'salary': {'from': 18000, 'to': 36000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/a4e290cd5d5b547d1b330108ea6534302ddcda5e.jpeg?1638980734,"[{'name': 'Incident Response', 'level': 4}, {'name': 'Threat hunting', 'level': 4}]",False
Senior Operations Support Engineer,Maraton Business Center,Poznań,PL,"Maraton Business Center, Poznań",admin,office,ExpressVPN,https://www.expressvpn.com,100+,mid,52.3989947,16.9313417,2021-12-20 08:46:00+00:00,True,expressvpn-senior-operations-support-engineer,"[{'type': 'permanent', 'salary': {'from': 9000, 'to': 16000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/eb95a045fb644c9efa13fa8dcc95046dbf764d37.jpeg?1638980696,"[{'name': 'Monitoring systems', 'level': 4}]",False
