title,street,city,country_code,address_text,marker_icon,workplace_type,company_name,company_url,company_size,experience_level,latitude,longitude,published_at,remote_interview,id,employment_types,company_logo_url,skills,remote
AWS Data Engineer,Centrum,Poznań,PL,"Centrum, Poznań",data,remote,QOOB.DEV,http://www.qoob.dev,2-10,mid,52.4093634,16.9317991,2022-01-15 08:00:20.901000+00:00,True,qoob-dev-aws-data-engineer-7a1666b6-3d9a-420b-859a-9135ce597743,"[{'type': 'b2b', 'salary': {'from': 16800, 'to': 25200, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/3d0e1701189591e7987ce0597c3021fa17bc2304.jpg?1642147710,"[{'name': 'Amazon AWS', 'level': 2}, {'name': 'SQL', 'level': 3}, {'name': 'Python', 'level': 3}]",True
Administrator aplikacji IT,Centrum,Kraków,PL,"Centrum, Kraków",admin,remote,Vulcan,https://www.vulcan.edu.pl/,300,mid,50.0550498,19.9259309,2022-01-15 08:00:20.901000+00:00,True,vulcan-administrator-aplikacji-it-krakow,"[{'type': 'permanent', 'salary': None}]",https://bucket.justjoin.it/offers/company_logos/thumb/db8479da89130ee5482cdeb67d59b128fb6e996d.JPG?1640158870,"[{'name': 'SQL', 'level': 3}, {'name': 'Relacyjne Bazy Danych', 'level': 3}, {'name': 'systemy klasy ERP', 'level': 3}]",True
Senior QA Automation Engineer,al. Jerozolimskie 96,Warszawa,PL,"al. Jerozolimskie 96, Warszawa",testing,remote,Medicover,https://www.medicover.pl/praca/,10 000+,senior,52.2225651,20.9784998,2022-01-15 08:00:20.901000+00:00,True,medicover-ekspert-ds-automatyzacji-testow-warszawa,"[{'type': 'permanent', 'salary': None}]",https://bucket.justjoin.it/offers/company_logos/thumb/cb4aed9c9db018de4aa51da72fa6bca36dde471a.png?1637566012,"[{'name': 'Postman', 'level': 4}, {'name': 'SoapUI', 'level': 4}, {'name': 'Selenium', 'level': 4}]",True
Senior Software Engineer with C,Krańcowa 5,Warszawa,PL,"Krańcowa 5, Warszawa",c,remote,Codilime,https://www.codilime.com/careers/,200+,senior,52.2026197,20.9277622,2022-01-15 08:00:20.901000+00:00,False,codilime-senior-software-engineer-with-c,"[{'type': 'b2b', 'salary': {'from': 19000, 'to': 27000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/c3bfb333ec39e793b0941ba9479ae08196e4cafd.png?1641887711,"[{'name': 'TCP', 'level': 4}, {'name': 'IP', 'level': 4}, {'name': 'C', 'level': 5}]",True
Python Developer,Centrum,Gdańsk,PL,"Centrum, Gdańsk",python,remote,SmartHotel,http://mysmarthotel.com,10+,mid,54.3871819,18.5942542,2022-01-15 08:00:20.901000+00:00,True,smarthotel-python-developer-gdansk,"[{'type': 'b2b', 'salary': {'from': 10000, 'to': 18000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/1dca123b023483518c6aeca800df6b5437d9a985.jpg?1641886230,"[{'name': 'RESTful API', 'level': 1}, {'name': 'Django', 'level': 3}, {'name': 'Python', 'level': 4}]",True
Python Developer,Centrum,Kraków,PL,"Centrum, Kraków",python,remote,SmartHotel,http://mysmarthotel.com,10+,mid,50.0550498,19.9259309,2022-01-15 08:00:20.901000+00:00,True,smarthotel-python-developer-krakow,"[{'type': 'b2b', 'salary': {'from': 10000, 'to': 18000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/1fa4a7c7ef2558eff162cd1c7997d7477ea80a26.jpg?1641886192,"[{'name': 'RESTful API', 'level': 1}, {'name': 'Django', 'level': 3}, {'name': 'Python', 'level': 4}]",True
Python Developer,Centrum,Warszawa,PL,"Centrum, Warszawa",python,remote,SmartHotel,http://mysmarthotel.com,10+,mid,52.2302091,21.0113922,2022-01-15 08:00:20.901000+00:00,True,smarthotel-python-developer,"[{'type': 'b2b', 'salary': {'from': 10000, 'to': 18000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/f7005e37e30c1f7e59176e30ad772cff3ee30032.jpg?1641838027,"[{'name': 'RESTful API', 'level': 1}, {'name': 'Django', 'level': 3}, {'name': 'Python', 'level': 4}]",True
Data Engineer / Specialist,Janosika 17,Szczecin,PL,"Janosika 17, Szczecin",data,remote,Unikie,http://unikie.com/,400+,senior,53.44086,14.5464164,2022-01-15 08:00:20.901000+00:00,True,unikie-data-engineer-specialist,"[{'type': 'b2b', 'salary': {'from': 20000, 'to': 26500, 'currency': 'pln'}}, {'type': 'permanent', 'salary': {'from': 16800, 'to': 22000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/2531df709a267fb19ea8d74124693208f0ba8cc4.png?1641831051,"[{'name': 'SQL', 'level': 4}, {'name': 'Databases', 'level': 4}, {'name': 'ETL', 'level': 5}]",True
C#/.Net Developer,Centrum,Kraków,PL,"Centrum, Kraków",net,remote,Polar Night Software,http://polarnightsoftware.com,15-20,mid,50.0550498,19.9259309,2022-01-15 08:00:20.901000+00:00,True,polar-night-software-c-net-developer-7332aa51-c2fa-4e46-a874-61886945d8a3,"[{'type': 'b2b', 'salary': {'from': 13000, 'to': 22000, 'currency': 'pln'}}, {'type': 'permanent', 'salary': {'from': 11000, 'to': 18000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/cdc4476b0a3222ffb10b076cc64baa546050ae19.png?1641542589,"[{'name': '.Net', 'level': 3}, {'name': 'C#', 'level': 3}]",True
.NET Developer,-,Kraków,PL,"-, Kraków",net,remote,IN Team,https://in-team.com.pl,60+,junior,50.0646501,19.9449799,2022-01-15 08:00:20.901000+00:00,True,in-team-net-developer-krakow,"[{'type': 'b2b', 'salary': {'from': 7560, 'to': 11760, 'currency': 'pln'}}, {'type': 'mandate_contract', 'salary': {'from': 7560, 'to': 11760, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/3e5e4d2cb17209518402fdbe2c7c495935bd2a84.png?1638776601,"[{'name': 'Azure', 'level': 1}, {'name': '.NET Core', 'level': 2}, {'name': 'C#', 'level': 2}]",True
