title,street,city,country_code,address_text,marker_icon,workplace_type,company_name,company_url,company_size,experience_level,latitude,longitude,published_at,remote_interview,id,employment_types,company_logo_url,skills,remote
IT Administrator,ul. Kostrzyńska 4,Zielona Góra,PL,"ul. Kostrzyńska 4, Zielona Góra",admin,partly_remote,Metapack,http://poznajmetapack.com,250,mid,51.9580911,15.5404446,2021-11-17 08:45:00+00:00,True,metapack-it-administrator,"[{'type': 'permanent', 'salary': None}]",https://bucket.justjoin.it/offers/company_logos/thumb/cc7d30e4b4d9a3e2e34a910c8fbf3e51745d261a.jpg?1635493727,"[{'name': 'IT Support', 'level': 3}, {'name': 'Active Directory', 'level': 3}]",False
Mid/Senior Back-end Developer,Młynarska 42/115,Warszawa,PL,"Młynarska 42/115, Warszawa",javascript,partly_remote,Iagon,http://iagon.com,1-30,senior,52.239822,20.971295,2021-11-17 08:43:00+00:00,True,iagon-mid-senior-back-end-developer,"[{'type': 'permanent', 'salary': {'from': 18500, 'to': 25000, 'currency': 'pln'}}, {'type': 'b2b', 'salary': {'from': 15000, 'to': 25000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/ddf41f4ce3d7f725ceceea0a16cb72cbf5fdb55c.png?1635338440,"[{'name': 'C', 'level': 4}, {'name': 'Python', 'level': 4}, {'name': 'JavaScript', 'level': 4}]",False
Platform (Cloud) Engineer,Hrubieszowska,Warszawa,PL,"Hrubieszowska, Warszawa",devops,partly_remote,Sportradar,https://sportradar.com,500+,mid,52.2300259,20.9791634,2021-11-17 08:40:00+00:00,True,sportradar-platform-cloud-engineer,"[{'type': 'permanent', 'salary': {'from': 16000, 'to': 20000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/ec6fcb65b10adb8469d9155a7f95bc86b4123b72.png?1635416248,"[{'name': 'Linux', 'level': 3}, {'name': 'AWS', 'level': 3}, {'name': 'English', 'level': 4}]",False
Front End Developer,Hrubieszowska,Warszawa,PL,"Hrubieszowska, Warszawa",javascript,remote,Sportradar,https://sportradar.com,500+,mid,52.2300259,20.9791634,2021-11-17 08:38:00+00:00,True,sportradar-front-end-developer,"[{'type': 'permanent', 'salary': {'from': 15000, 'to': 20000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/7196294400e5bedc9c37bdbb05d0b8843d4be1f5.png?1635415463,"[{'name': 'AWS', 'level': 3}, {'name': 'React', 'level': 3}, {'name': 'English', 'level': 4}]",True
Senior Data Engineer in AI project,Al. Jerozolimskie 195B,Warszawa,PL,"Al. Jerozolimskie 195B, Warszawa",data,remote,eConsulting Sp. z o.o.,http://www.econsulting.co,130,senior,52.1993907,20.9347723,2021-11-17 08:33:00+00:00,True,econsulting-sp-z-o-o-senior-data-engineer-in-ai-project,"[{'type': 'b2b', 'salary': {'from': 19000, 'to': 29000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/1f58b5335d2ac2f2cc68828aad4f3fe774784b4d.png?1635343142,"[{'name': 'Amazon AWS', 'level': 3}, {'name': 'SQL', 'level': 5}, {'name': 'Python', 'level': 5}]",True
DevOps Engineer,Hrubieszowska 2,Warszawa,PL,"Hrubieszowska 2, Warszawa",devops,partly_remote,Sportradar,https://sportradar.com,500+,mid,52.2303362,20.980361,2021-11-17 08:32:00+00:00,True,sportradar-devops-engineer,"[{'type': 'permanent', 'salary': {'from': 18000, 'to': 20000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/9ec89b11a446905b0aaf2796bfc81414ad1e4902.png?1634718022,"[{'name': 'Linux OS', 'level': 3}, {'name': 'GNU', 'level': 3}, {'name': 'AWS', 'level': 3}]",False
AWS Cloud Governance Engineer,Centrum,Warszawa,PL,"Centrum, Warszawa",security,remote,Samba TV,https://samba.tv/,250,mid,52.2293895,21.0131979,2021-11-17 08:32:00+00:00,True,samba-tv-cloud-engineer,"[{'type': 'b2b', 'salary': {'from': 20000, 'to': 24000, 'currency': 'pln'}}, {'type': 'permanent', 'salary': {'from': 17000, 'to': 20000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/c4898fa9ec59339eb60b5bb4c28fd096adc6229e.png?1634566346,"[{'name': 'AWS networking', 'level': 3}, {'name': 'AWS platforms', 'level': 3}, {'name': 'Cloud Solutions', 'level': 3}]",True
Implementation Specialist,Kostrzyńska 4,Zielona Góra,PL,"Kostrzyńska 4, Zielona Góra",support,partly_remote,Metapack Poland Sp. z o.o.,https://www.poznajmetapack.com/,200+,mid,51.9580911,15.5404446,2021-11-17 08:31:00+00:00,True,metapack-poland-sp-z-o-o-customer-implementation-specialist,"[{'type': 'permanent', 'salary': None}]",https://bucket.justjoin.it/offers/company_logos/thumb/b10b2fd459f70edf563e3ee44dd9e1763f882638.jpg?1634563912,"[{'name': 'SQL', 'level': 3}, {'name': 'XML', 'level': 3}, {'name': 'JSON', 'level': 3}]",False
Engineering Team Lead,Kostrzyńska 4,Zielona Góra,PL,"Kostrzyńska 4, Zielona Góra",net,partly_remote,Metapack Poland Sp. z o.o.,https://www.poznajmetapack.com/,200+,mid,51.9580911,15.5404446,2021-11-17 08:31:00+00:00,True,metapack-poland-sp-z-o-o-engineering-team-lead,"[{'type': 'permanent', 'salary': None}]",https://bucket.justjoin.it/offers/company_logos/thumb/7f7c55199e0595da7d0a04edb7240466b1543ea0.jpg?1634564188,"[{'name': '.Net', 'level': 3}, {'name': 'Team Leadership', 'level': 4}, {'name': 'Analytical Thinking', 'level': 4}]",False
Backend developer,Metalowa 5,Poznań,PL,"Metalowa 5, Poznań",python,remote,Grandmetric,http://grandmetric.com,20,mid,52.381122,16.8863309,2021-11-17 08:23:00+00:00,True,grandmetric-backend-developer-poznan,"[{'type': 'b2b', 'salary': {'from': 14000, 'to': 19000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/0043b967da5734a5396254330990086e2fbc1e82.png?1634716266,"[{'name': 'HTTP protocol', 'level': 4}, {'name': 'PostreSQL', 'level': 4}, {'name': 'Python 3', 'level': 4}]",True
Mid/Senior QA Analyst,Szczytnicka 11,Wrocław,PL,"Szczytnicka 11, Wrocław",testing,remote,ORM Digital,http://www.ormdigital.com,100,mid,51.1132635,17.0520369,2021-11-17 08:22:00+00:00,True,orm-digital-mid-senior-qa-analyst,"[{'type': 'b2b', 'salary': None}]",https://bucket.justjoin.it/offers/company_logos/thumb/14cd2806047a8cb2652eae7471076cd9776dc136.jpg?1634736148,"[{'name': 'CMS testing', 'level': 3}, {'name': 'English', 'level': 3}, {'name': 'Quality Assurance', 'level': 4}]",True
Linux Engineer / DevOps,Żwirki i Wigury 16b,Warszawa,PL,"Żwirki i Wigury 16b, Warszawa",devops,remote,Be | Shaping the Future Poland,https://www.be-tse.pl/,1500,senior,52.1894156,20.9841516,2021-11-17 08:22:00+00:00,True,be-shaping-the-future-poland-linux-engineer-devops,"[{'type': 'b2b', 'salary': {'from': 20000, 'to': 26880, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/e58e5592c9e1d28bfcf4ce15994250273924709b.png?1634731151,"[{'name': 'CD', 'level': 4}, {'name': 'CI', 'level': 4}, {'name': 'Linux', 'level': 4}]",True
Robotic Software Engineer,Al. Jerozolimskie 211lok.D4-D5,Warszawa,PL,"Al. Jerozolimskie 211lok.D4-D5, Warszawa",python,partly_remote,VersaBox,https://versabox.eu/,10+,mid,52.191297,20.9226827,2021-11-17 08:22:00+00:00,False,versabox-robotic-software-engineer,"[{'type': 'permanent', 'salary': {'from': 8000, 'to': 12000, 'currency': 'pln'}}, {'type': 'b2b', 'salary': {'from': 8000, 'to': 12000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/d269ed497abd4467b8a3f683bc9e2e38cc099715.png?1634727165,"[{'name': 'ROS', 'level': 3}, {'name': 'Robotyka', 'level': 3}, {'name': 'Angielski', 'level': 3}]",False
Golang Developer,al. Jana Pawła II 22,Warszawa,PL,"al. Jana Pawła II 22, Warszawa",go,remote,Be | Shaping the Future Poland,https://www.be-tse.pl/,150,mid,52.2355943,20.9980939,2021-11-17 08:22:00+00:00,True,be-shaping-the-future-poland-frontend-developer,"[{'type': 'b2b', 'salary': {'from': 17600, 'to': 25600, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/b40f50c31202d231d1ab152a68fc40ca68abee63.png?1627465985,"[{'name': 'JSON', 'level': 3}, {'name': 'Cloud', 'level': 3}, {'name': 'Golang', 'level': 3}]",True
Inżynier Oprogramowania Regular C#,ul. Ziemowita 10D,Szczecin,PL,"ul. Ziemowita 10D, Szczecin",net,partly_remote,Kongsberg Maritime Poland Sp. z  o.o.,https://www.kongsberg.com/,250+,mid,53.4605385,14.5907962,2021-11-17 08:19:00+00:00,True,kongsberg-maritime-poland-sp-z-o-o-mid-software-engineer-c-net-szczecin,"[{'type': 'permanent', 'salary': {'from': 8000, 'to': 11000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/e178a8fa0acee6e39a5fe516f9884092b6289714.PNG?1617107827,"[{'name': 'TFS', 'level': 2}, {'name': 'Visual Studio', 'level': 3}, {'name': '.NET C#', 'level': 3}]",False
Web developer,ul. Wenedów 2,Koszalin,PL,"ul. Wenedów 2, Koszalin",php,office,Meden-Inmed,https://meden.com.pl/,400,junior,54.1765508,16.1793286,2021-11-17 08:07:31.269000+00:00,False,meden-inmed-web-developer,"[{'type': 'permanent', 'salary': {'from': 5500, 'to': 6000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/c10c8b34d5e30f1c59e3fae54497deeb631c2b14.png?1637136364,"[{'name': '#HTML', 'level': 2}, {'name': '#PHP', 'level': 2}, {'name': '#CSS', 'level': 2}]",False
Senior Software Engineer (Front End),centrum,Warszawa,PL,"centrum, Warszawa",javascript,remote,Devbridge,http://www.devbridge.com,500+,senior,52.2293754,21.0131961,2021-11-17 08:07:22.784000+00:00,True,devbridge-senior-software-engineer-front-end,"[{'type': 'b2b', 'salary': {'from': 19200, 'to': 28880, 'currency': 'pln'}}, {'type': 'permanent', 'salary': {'from': 17000, 'to': 25000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/b53a52c04ceb423730828cd304949bc171bed20b.png?1627629928,"[{'name': 'CSS', 'level': 4}, {'name': 'HTML', 'level': 4}, {'name': 'JavaScript', 'level': 4}]",True
Frontend Developer,Wadowicka 7,Kraków,PL,"Wadowicka 7, Kraków",java,remote,Summer Agency,https://www.summer.agency/,50+,mid,50.0328899,19.9379124,2021-11-17 08:02:24.805000+00:00,True,summer-agency-frontend-developer,"[{'type': 'b2b', 'salary': {'from': 8000, 'to': 16000, 'currency': 'pln'}}, {'type': 'permanent', 'salary': {'from': 6500, 'to': 13000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/9c7de6a7840fb820cfc625fdb29bd4ed231a5c66.jpg?1637136059,"[{'name': 'Git', 'level': 3}, {'name': 'Spring', 'level': 3}, {'name': 'Java', 'level': 3}]",True
