title,street,city,country_code,address_text,marker_icon,workplace_type,company_name,company_url,company_size,experience_level,latitude,longitude,published_at,remote_interview,id,employment_types,company_logo_url,skills,remote
MID/Senior Software Developer,Domaniewska 50,Warszawa,PL,"Domaniewska 50, Warszawa",java,office,StepStone Services,http://www.stepstoneservices.pl,280+,mid,52.1836762,20.9953747,2021-11-06 08:00:24.908000+00:00,True,stepstone-services-mid-senior-software-developer,"[{'type': 'b2b', 'salary': {'from': 13000, 'to': 25000, 'currency': 'pln'}}, {'type': 'permanent', 'salary': {'from': 10000, 'to': 19000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/dcdfa4a7c7ee1d731d6a5f04da9513fa2bfa479e.png?1629188539,"[{'name': 'Spring Boot', 'level': 4}, {'name': 'Spring', 'level': 4}, {'name': 'Java', 'level': 4}]",False
Frontend Engineer,Pawia 23,Kraków,PL,"Pawia 23, Kraków",javascript,partly_remote,Schibsted,http://www.schibsted.pl/,200,mid,50.0730124,19.945507,2021-11-06 08:00:24.908000+00:00,True,schibsted-senior-frontend-developer-23cde617-f13a-491e-ba36-bbab4bab0018,"[{'type': 'permanent', 'salary': None}, {'type': 'b2b', 'salary': None}]",https://bucket.justjoin.it/offers/company_logos/thumb/5697a370f8309242e61567f80bd5c06e55915325.png?1612344279,"[{'name': 'ES6', 'level': 3}, {'name': 'ReactJS', 'level': 3}, {'name': 'JavaScript', 'level': 3}]",False
 IT Business Analyst,Centrum,Kraków,PL,"Centrum, Kraków",analytics,remote,Unity Group,https://www.unitygroup.com/pl/,350+,mid,50.0761852,19.9587208,2021-11-06 08:00:24.908000+00:00,True,unity-group-senior-it-business-analyst,"[{'type': 'b2b', 'salary': {'from': 10000, 'to': 15000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/c75f66eac613800a7b2dd340e6c2e9e0ec0ca187.png?1631536528,"[{'name': 'Business Analysis', 'level': 3}]",True
Java Team Leader,Pawia 23,Kraków,PL,"Pawia 23, Kraków",java,partly_remote,Schibsted,http://www.schibsted.pl/,200,mid,50.0730124,19.945507,2021-11-06 08:00:24.908000+00:00,True,schibsted-java-team-leader,"[{'type': 'permanent', 'salary': None}]",https://bucket.justjoin.it/offers/company_logos/thumb/51d09180dfa746eb53539fbb8d7652e7dcb16ff2.png?1625729687,"[{'name': 'JVM', 'level': 3}, {'name': 'People Management', 'level': 3}, {'name': 'Java', 'level': 4}]",False
PHP Fullstack Developer(Mid/Senior/Lead),Grudziądzka 46-48,Toruń,PL,"Grudziądzka 46-48, Toruń",php,remote,Droptica,https://www.droptica.com/,50-60,mid,53.019822,18.610923,2021-11-06 08:00:24.908000+00:00,True,droptica-php-developer-on-site-e6b063dc-7f4a-4abd-ab8f-ef6cee7ba559,"[{'type': 'b2b', 'salary': {'from': 9500, 'to': 16500, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/a22410e915e6716346a439c00c8d6efc48dc868a.jpg?1606135693,"[{'name': 'HTML', 'level': 3}, {'name': 'English', 'level': 4}, {'name': 'PHP', 'level': 4}]",True
Analityk Systemowy (obszar logistyczny),Tczewska 2,Pruszcz Gdański,PL,"Tczewska 2, Pruszcz Gdański",analytics,office,Silky Coders,https://www.silkycoders.com/,400,mid,54.2387727,18.6177846,2021-11-06 08:00:24.908000+00:00,True,silky-coders-analityk-systemowy-obszar-logistyczny-pruszcz-gdanski,"[{'type': 'permanent', 'salary': None}]",https://bucket.justjoin.it/offers/company_logos/thumb/dcc2cfdfdf016c5d42c58dedda8ba0b7bed09b2f.jpg?1634112635,"[{'name': 'OpenReports', 'level': 3}, {'name': 'iReports', 'level': 3}, {'name': 'SQL', 'level': 4}]",False
Junior Inżynier DevOps (AWS),Plac Konesera 12,Warszawa,PL,"Plac Konesera 12, Warszawa",devops,partly_remote,Raiffeisen Bank International AG,https://www.rbinternational.com.pl/kariera/oferty-pracy/,250+,junior,52.2558129,21.044558,2021-11-06 08:00:24.908000+00:00,True,raiffeisen-bank-international-ag-devops-engineer,"[{'type': 'permanent', 'salary': None}]",https://bucket.justjoin.it/offers/company_logos/thumb/320415838f065cffe8a4a388b6bf37d5e4661f97.PNG?1614684794,"[{'name': 'Kubernetes', 'level': 2}, {'name': 'Python', 'level': 2}, {'name': 'English', 'level': 3}]",False
Android Engineer,Pawia 23,Kraków,PL,"Pawia 23, Kraków",mobile,partly_remote,Schibsted,http://www.schibsted.pl/,200,mid,50.0730124,19.945507,2021-11-06 08:00:24.908000+00:00,True,schibsted-android-engineer,"[{'type': 'permanent', 'salary': None}, {'type': 'b2b', 'salary': None}]",https://bucket.justjoin.it/offers/company_logos/thumb/5487ef46036a4a77ce510b5f2edb4b819a2ace33.png?1629183415,"[{'name': 'SOLID Principles', 'level': 3}, {'name': 'Kotlin', 'level': 3}, {'name': 'Android', 'level': 3}]",False
Cloud DevOps Engineer,Centrum,Kraków,PL,"Centrum, Kraków",devops,remote,Unity Group,https://www.unitygroup.com/pl/,300+,mid,50.0550498,19.9259309,2021-11-06 08:00:24.908000+00:00,True,unity-group-cloud-devops-engineer-krakow,"[{'type': 'b2b', 'salary': {'from': 15000, 'to': 20000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/cddf88096aaf2743a0cf2cb067f981ea5e8be8c5.jpg?1624527092,"[{'name': 'Cybersecurity', 'level': 3}, {'name': 'DevOps', 'level': 3}, {'name': 'Linux', 'level': 4}]",True
QA Engineer,Centrum,Warszawa,PL,"Centrum, Warszawa",testing,remote,AUTO1,https://www.auto1-group.com/,5000+,mid,52.2293895,21.0131979,2021-11-06 08:00:24.908000+00:00,True,auto1-qa-engineer,"[{'type': 'b2b', 'salary': {'from': 8000, 'to': 15000, 'currency': 'pln'}}, {'type': 'permanent', 'salary': {'from': 6500, 'to': 13000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/6445f61540b5529baa5a222ff3900e4d644fd02d.png?1634112136,"[{'name': 'Java', 'level': 2}, {'name': 'Selenium WebDriver', 'level': 2}, {'name': 'REST API', 'level': 3}]",True
