title,street,city,country_code,address_text,marker_icon,workplace_type,company_name,company_url,company_size,experience_level,latitude,longitude,published_at,remote_interview,id,employment_types,company_logo_url,skills,remote
Senior Python Engineer,Jesionowa,Katowice,PL,"Jesionowa, Katowice",python,remote,iRonin.IT,http://www.ironin.it,40,senior,50.2764889,19.0258816,2021-10-24 08:00:16.712000+00:00,True,ironin-it-senior-python-engineer,"[{'type': 'b2b', 'salary': {'from': 26000, 'to': 30000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/683a4dac7e5fc530cbf61ecc24a39d6ab601e284.png?1613585702,"[{'name': 'Cloud architecture design', 'level': 4}, {'name': 'Flask', 'level': 4}, {'name': 'Python', 'level': 4}]",True
"Backend Engineer (Ruby, REMOTE)",Aleje Jerozolimskie,Warszawa,PL,"Aleje Jerozolimskie, Warszawa",ruby,remote,DevsData LLC,https://devsdata.com/,40,senior,52.2072628,20.945304,2021-10-24 08:00:16.712000+00:00,True,devsdata-llc-backend-engineer-ruby-remote,"[{'type': 'b2b', 'salary': {'from': 25000, 'to': 35000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/261c4334521cbf7e1669934fed9d45aa735e06a9.png?1634716153,"[{'name': 'Ruby', 'level': 3}]",True
Python Developer,Encyklopedyczna 2A/5,Warszawa,PL,"Encyklopedyczna 2A/5, Warszawa",python,remote,WLOG Solutions Sp. z o.o.,https://www.wlogsolutions.com/,15-20,mid,52.3037103,20.9293956,2021-10-24 08:00:16.712000+00:00,True,wlog-solutions-sp-z-o-o-python-developer-warszawa,"[{'type': 'b2b', 'salary': {'from': 10000, 'to': 18000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/8a8329c6c204d8bfd75bf7b2a5ac374c289c9c86.png?1634197174,"[{'name': 'English', 'level': 3}, {'name': 'SQL', 'level': 3}, {'name': 'Python', 'level': 3}]",True
Senior Full Stack Developer,Lęborska 3B,Gdańsk,PL,"Lęborska 3B, Gdańsk",javascript,partly_remote,Just Join IT,https://justjoin.it/,100+,senior,54.4046776,18.5762206,2021-10-24 08:00:16.712000+00:00,True,just-join-it-senior-full-stack-developer,"[{'type': 'b2b', 'salary': {'from': 18000, 'to': 25000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/ca753736ad301ed7ecebcd6e46f567cf0ce3d9ad.png?1624632968,"[{'name': 'TypeScript', 'level': 4}, {'name': 'Next.js', 'level': 5}, {'name': 'React', 'level': 5}]",False
Backend Software Engineer,Prosta 51,Warszawa,PL,"Prosta 51, Warszawa",java,partly_remote,Webfleet Solutions,https://www.webfleet.com/en_gb/webfleet/,501-1000,mid,52.2305686,20.9872863,2021-10-24 08:00:16.712000+00:00,False,webfleet-solutions-backend-software-engineer,"[{'type': 'permanent', 'salary': None}]",https://bucket.justjoin.it/offers/company_logos/thumb/00d332d56eeef21ef786b0bf9c240b48da5dd000.jpg?1634026218,"[{'name': 'Spring', 'level': 3}, {'name': 'Java', 'level': 3}, {'name': 'English', 'level': 4}]",False
Frontend developer,Plażowa,Białystok,PL,"Plażowa, Białystok",html,partly_remote,Net Innovation Software,https://www.netis.pl/,50+,mid,53.1178941,23.2175982,2021-10-24 08:00:16.712000+00:00,True,net-innovation-software-frontend-developer,"[{'type': 'permanent', 'salary': {'from': 6000, 'to': 12000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/0db0cfd8b8af42861de18f9ae6f5773d61bc967b.png?1614338177,"[{'name': 'RWD', 'level': 4}, {'name': 'CSS', 'level': 4}, {'name': 'HTML5', 'level': 4}]",False
PHP Developer (Symfony/CakePHP/Laravel),Ziębicka 17,Poznań,PL,"Ziębicka 17, Poznań",php,remote,X-ONE,https://x-one.pl/,25-30,mid,52.3843677,16.8445485,2021-10-24 08:00:16.712000+00:00,True,x-one-php-developer,"[{'type': 'b2b', 'salary': {'from': 10000, 'to': 16000, 'currency': 'pln'}}, {'type': 'permanent', 'salary': {'from': 8000, 'to': 13000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/f0a7fc209d48c74eb4c666a131d9917e07335219.png?1631786001,"[{'name': 'MySQL', 'level': 3}, {'name': 'PostgreSQL', 'level': 3}, {'name': 'PHP', 'level': 4}]",True
Python Developer with Django,Rydlówka 20,Kraków,PL,"Rydlówka 20, Kraków",python,remote,Codahead,http://codahead.com,50,mid,50.0349452,19.9367489,2021-10-24 08:00:16.712000+00:00,True,codahead-python-developer-with-django,"[{'type': 'b2b', 'salary': {'from': 10000, 'to': 18000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/0c1941a0dc58eeaa967679ff25e9b6ef6dd3b3f5.png?1632816181,"[{'name': 'Django', 'level': 3}, {'name': 'Python', 'level': 3}, {'name': 'English', 'level': 4}]",True
Server Administrator,Robotnicza 42,Wrocław,PL,"Robotnicza 42, Wrocław",admin,partly_remote,Gigaset Poland,https://www.gigaset.com/pl_pl/cms/hr/kariera-w-gigaset.html,200,mid,51.1112595,17.0016919,2021-10-24 08:00:16.712000+00:00,True,gigaset-poland-server-administrator,"[{'type': 'permanent', 'salary': {'from': 6000, 'to': 11000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/de3b1bbe781db9545e28498ed3ba6d74fc36c437.png?1626865630,"[{'name': 'Networking', 'level': 3}, {'name': 'Linux', 'level': 3}, {'name': 'Problem Solving', 'level': 4}]",False
Frontend Developer,Świdnicka 18/20,Wrocław,PL,"Świdnicka 18/20, Wrocław",javascript,remote,riskmethods,https://www.riskmethods.net,200+,mid,51.1067376,17.0320754,2021-10-24 08:00:16.712000+00:00,True,riskmethods-frontend-developer,"[{'type': 'b2b', 'salary': {'from': 14000, 'to': 23000, 'currency': 'pln'}}, {'type': 'permanent', 'salary': {'from': 14000, 'to': 23000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/c6589d222a228eede2b9ee79e83d95ad0f23a86f.png?1631194424,"[{'name': 'TypeScript', 'level': 3}, {'name': 'React', 'level': 4}]",True
Senior Angular Developer,Karolkowa 30,Warszawa,PL,"Karolkowa 30, Warszawa",javascript,remote,Britenet,http://www.britenet.com.pl,900+,senior,52.2316916,20.977902,2021-10-24 08:00:16.712000+00:00,True,britenet-senior-angular-developer,"[{'type': 'b2b', 'salary': {'from': 15000, 'to': 21000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/38b48b168652d6cc96f8fe827cb34d52b5ebbc53.png?1632901905,"[{'name': 'Git', 'level': 5}, {'name': 'HTML/CSS', 'level': 5}, {'name': 'JavaScript', 'level': 5}]",True
Python Developer,-,Wrocław,PL,"-, Wrocław",python,remote,WLOG Solutions Sp. z o.o.,https://www.wlogsolutions.com/,15-20,mid,51.1078852,17.0385376,2021-10-24 08:00:16.712000+00:00,True,wlog-solutions-sp-z-o-o-python-developer-1e9f8675-e346-4f70-b450-5e88b4bf5ab0,"[{'type': 'b2b', 'salary': {'from': 10000, 'to': 18000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/55dc212df512a3e4f052e54f639dd8f4143d13a2.png?1634197444,"[{'name': 'English', 'level': 3}, {'name': 'SQL', 'level': 3}, {'name': 'Python', 'level': 3}]",True
Trainee - Project Management Office,Centrum,Wrocław,PL,"Centrum, Wrocław",pm,remote,Atos,https://atos.net/pl/polska,500+,junior,51.1106992,17.0323662,2021-10-24 08:00:16.712000+00:00,True,atos-trainee-project-management-office,"[{'type': 'mandate_contract', 'salary': None}]",https://bucket.justjoin.it/offers/company_logos/thumb/68ebae0fd0810328c1d4178cb6eeace437aacd4d.jpg?1633505310,"[{'name': 'Project Management', 'level': 1}, {'name': 'MS Office', 'level': 2}, {'name': 'English / German', 'level': 3}]",True
Senior QA Lead,-,Kraków,PL,"-, Kraków",python,remote,medcase Health,http://www.medcase.health,40,senior,50.0646501,19.9449799,2021-10-24 08:00:16.712000+00:00,True,medcase-health-senior-qa-lead-krakow,"[{'type': 'permanent', 'salary': {'from': 13000, 'to': 15000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/c4d38250fc0b084d902b81174aa5d7249d87026e.png?1631005482,"[{'name': 'Python 3.x', 'level': 4}, {'name': 'Team Player', 'level': 5}, {'name': 'Selenium', 'level': 5}]",True
Senior Cloud Engineer,Żwirki i Wigury 16C,Warszawa,PL,"Żwirki i Wigury 16C, Warszawa",devops,remote,ManpowerGroup,http://www.experis.pl,4000,senior,52.1886044,20.9843421,2021-10-24 08:00:16.712000+00:00,True,manpowergroup-senior-cloud-engineer,"[{'type': 'b2b', 'salary': {'from': 28560, 'to': 33600, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/7b94d0d900cd1da927b745aceba29a4f22ce3d36.png?1634196547,"[{'name': 'Git', 'level': 4}, {'name': 'Terraform', 'level': 4}, {'name': 'Microsoft Azure Cloud', 'level': 5}]",True
Junior Java Developer,Al. Jerozolimskie 96,Warszawa,PL,"Al. Jerozolimskie 96, Warszawa",java,remote,BlueSoft,https://bluesoft.com,650+,junior,52.2225651,20.9784998,2021-10-24 08:00:16.712000+00:00,True,bluesoft-junior-java-developer-60b5ed66-1354-4d5e-a7b1-7512e3b5c23e,"[{'type': 'b2b', 'salary': {'from': 6000, 'to': 9000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/aaa7c018e464e7373eb2ce23c8bacc36dc903886.png?1624013966,"[{'name': 'Spring', 'level': 2}, {'name': 'Java', 'level': 2}]",True
DevOps Engineer for modern monitoring,Krańcowa 5,Warszawa,PL,"Krańcowa 5, Warszawa",devops,remote,Codilime,https://www.codilime.com/careers/,200+,mid,52.2026196,20.9277622,2021-10-24 08:00:16.712000+00:00,True,codilime-devops-engineer-for-modern-monitoring,"[{'type': 'b2b', 'salary': {'from': 12000, 'to': 17000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/a64f3713bfaee8e1c0f21566f20c4c4e4030e8b7.jpg?1619532973,"[{'name': 'GCP', 'level': 3}, {'name': 'Kubernetes', 'level': 3}, {'name': 'CI/CD processes', 'level': 4}]",True
Senior IT Project Manager,Al. Jerozolimskie,Warszawa,PL,"Al. Jerozolimskie, Warszawa",pm,remote,ITFS,https://www.itfs.pl,300+,senior,52.2072628,20.945304,2021-10-24 08:00:16.712000+00:00,True,itfs-senior-it-project-manager-warszawa,"[{'type': 'permanent', 'salary': {'from': 20000, 'to': 25000, 'currency': 'pln'}}, {'type': 'b2b', 'salary': {'from': 20000, 'to': 25000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/b36ab46a659f3e9cca9ffbebb3375ac60e3c540b.jpg?1632987332,"[{'name': 'PM', 'level': 4}]",True
Solution Developer / Architect (Azure),Legnicka 48 G,Wrocław,PL,"Legnicka 48 G, Wrocław",architecture,remote,Etteplan,https://www.etteplan.com/pl,1001-5000,senior,51.116657,16.9968176,2021-10-24 08:00:16.712000+00:00,True,etteplan-solution-developer-architect-azure,"[{'type': 'permanent', 'salary': None}]",https://bucket.justjoin.it/offers/company_logos/thumb/620b60a1bc37b5e6e0d47a9e8717d722523a5c80.jpg?1632901411,"[{'name': '.Net', 'level': 4}, {'name': 'Azure', 'level': 5}, {'name': 'Azure PaaS Services', 'level': 5}]",True
Senior Full Stack Developer,Lęborska 3B,Gdańsk,PL,"Lęborska 3B, Gdańsk",javascript,remote,Just Join IT,https://justjoin.it/,100+,senior,54.4046776,18.5762206,2021-10-24 08:00:16.712000+00:00,True,just-join-it-senior-full-stack-developer-gdansk,"[{'type': 'b2b', 'salary': {'from': 18000, 'to': 25000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/f491a8aac9db01810607ca54ac055828bce5ff90.png?1624633153,"[{'name': 'TypeScript', 'level': 4}, {'name': 'Next.js', 'level': 5}, {'name': 'React', 'level': 5}]",True
FullStack Software Developer on Run Team,Al. Jana Pawla II 43 B,Kraków,PL,"Al. Jana Pawla II 43 B, Kraków",java,remote,TechnipFMC,https://www.technipfmc.com/,20 000,mid,50.074642,19.999887,2021-10-24 08:00:16.712000+00:00,True,technipfmc-fullstack-software-developer-on-run-team,"[{'type': 'b2b', 'salary': {'from': 14500, 'to': 20000, 'currency': 'pln'}}, {'type': 'permanent', 'salary': {'from': 11000, 'to': 16000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/b35281718031ad8e76d36f4a073724dc25fd46dc.PNG?1629899660,"[{'name': 'React', 'level': 3}, {'name': 'Kotlin', 'level': 3}, {'name': 'TypeScript', 'level': 3}]",True
Full-stack Java Developer,-,Wrocław,PL,"-, Wrocław",java,remote,WLOG Solutions Sp. z o.o.,https://www.wlogsolutions.com/,15-20,mid,51.1078852,17.0385376,2021-10-24 08:00:16.712000+00:00,True,wlog-solutions-sp-z-o-o-full-stack-java-developer-f6d672cf-53e3-419c-9721-d42ba68418c6,"[{'type': 'b2b', 'salary': {'from': 11000, 'to': 22000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/b7c6755c7e025a848f70168f157abc54ec2c9f2c.png?1634197214,"[{'name': 'C#', 'level': 3}, {'name': 'ReactJS', 'level': 3}, {'name': 'Angular', 'level': 3}]",True
.NET Developer,Bojkowska 37c,Gliwice,PL,"Bojkowska 37c, Gliwice",net,remote,FIS-SST Sp. zo.o.,https://fis-sst.pl/,100 -150,mid,50.2781293,18.6877464,2021-10-24 08:00:16.712000+00:00,True,fis-sst-sp-zo-o-net-developer-gliwice,"[{'type': 'permanent', 'salary': None}, {'type': 'b2b', 'salary': None}]",https://bucket.justjoin.it/offers/company_logos/thumb/4248a075369d5a5abeaf467e3885b22b7bf5785a.png?1634542440,"[{'name': 'English', 'level': 4}, {'name': '.Net', 'level': 4}, {'name': 'C#', 'level': 4}]",True
SPECJALISTA DS. CRM INTERNETOWEGO,Chmielna 89,Warszawa,PL,"Chmielna 89, Warszawa",data,partly_remote,PKO BP,https://www.pkobp.pl/kariera/,25000,mid,52.2268145,20.9922354,2021-10-24 08:00:16.712000+00:00,True,pko-bp-specjalista-ds-crm-internetowego,"[{'type': 'permanent', 'salary': None}]",https://bucket.justjoin.it/offers/company_logos/thumb/110cd2707429118ffd58879a50076cfa3deb3881.png?1634197395,"[{'name': 'DSP', 'level': 3}, {'name': 'CDP', 'level': 3}, {'name': 'dmp', 'level': 3}]",False
Python Developer,-,Kraków,PL,"-, Kraków",python,remote,WLOG Solutions Sp. z o.o.,https://www.wlogsolutions.com/,15-20,mid,50.0646501,19.9449799,2021-10-24 08:00:16.712000+00:00,True,wlog-solutions-sp-z-o-o-python-developer-88a15795-aef8-4e6f-86a8-d7b61eb85f5c,"[{'type': 'b2b', 'salary': {'from': 10000, 'to': 18000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/77438faaa6b7d292a875a4edd2f08b02598e7f47.png?1634197441,"[{'name': 'English', 'level': 3}, {'name': 'SQL', 'level': 3}, {'name': 'Python', 'level': 3}]",True
Senior RPA Developer,Jana Pawła II,Warszawa,PL,"Jana Pawła II, Warszawa",ux,remote,ManpowerGroup,http://www.experis.pl,4000,senior,52.2452495,20.9908202,2021-10-24 08:00:16.712000+00:00,True,manpowergroup-senior-rpa-developer-consultant,"[{'type': 'permanent', 'salary': None}]",https://bucket.justjoin.it/offers/company_logos/thumb/1a86703ed28885c1b4404e1906f857f67f3e4a99.png?1633333495,"[{'name': 'Java', 'level': 1}, {'name': 'OOP', 'level': 3}, {'name': 'RPA', 'level': 4}]",True
Full-stack Java Developer,-,Kraków,PL,"-, Kraków",java,remote,WLOG Solutions Sp. z o.o.,https://www.wlogsolutions.com/,15-20,mid,50.0646501,19.9449799,2021-10-24 08:00:16.712000+00:00,True,wlog-solutions-sp-z-o-o-full-stack-java-developer-f3875b42-d40f-4faf-ba29-0234419db4cf,"[{'type': 'b2b', 'salary': {'from': 11000, 'to': 22000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/4c87bbf07476719964939e093661c78faf64d391.png?1634197202,"[{'name': 'C#', 'level': 3}, {'name': 'ReactJS', 'level': 3}, {'name': 'Angular', 'level': 3}]",True
Mid - Javascript Developer,Rewolucji 1905 roku 82,Łódź,PL,"Rewolucji 1905 roku 82, Łódź",javascript,partly_remote,Firmao Polska,http://firmao.pl,20-30,mid,51.7765,19.4739,2021-10-24 08:00:16.712000+00:00,False,firmao-polska-fullstack-developer-java-javascript,"[{'type': 'b2b', 'salary': {'from': 12000, 'to': 18000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/99850ee3d1b164d1503e3514c4306ac96854b2a7.png?1618232269,"[{'name': 'Hibernate', 'level': 3}, {'name': 'MySQL', 'level': 3}, {'name': 'JavaScript', 'level': 3}]",False
.NET Software Developers & Architects,Azymutalna 9,Gdańsk,PL,"Azymutalna 9, Gdańsk",net,partly_remote,Banqsoft,https://www.banqsoft.com/,350+,mid,54.3865154,18.4652454,2021-10-24 08:00:16.712000+00:00,True,banqsoft-net-software-developers-architects-gdansk,"[{'type': 'permanent', 'salary': None}]",https://bucket.justjoin.it/offers/company_logos/thumb/87dd954f881f60e1919698c55f01d62ba998e202.png?1632987949,"[{'name': '.NET Core', 'level': 3}, {'name': '.Net', 'level': 3}, {'name': 'C#', 'level': 3}]",False
Regular / Senior Frontend Engineer,Lubicz 17g,Kraków,PL,"Lubicz 17g, Kraków",javascript,partly_remote,Codewise,https://codewise.com/,150,senior,50.0642765,19.9479948,2021-10-24 08:00:16.712000+00:00,True,codewise-regular-senior-frontend-engineer-krakow,"[{'type': 'b2b', 'salary': {'from': 17000, 'to': 25000, 'currency': 'pln'}}, {'type': 'permanent', 'salary': {'from': 15000, 'to': 22000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/405f05b23a712692c93a7e37d9cc56f89b269568.png?1634627980,"[{'name': 'CSS', 'level': 4}, {'name': 'HTML', 'level': 4}, {'name': 'JavaScript', 'level': 4}]",False
Senior Full Stack Developer,Górskiego 9,Warszawa,PL,"Górskiego 9, Warszawa",javascript,partly_remote,Just Join IT,https://justjoin.it/,100+,senior,52.2335087,21.0155005,2021-10-24 08:00:16.712000+00:00,True,just-join-it-senior-full-stack-developer-warszawa,"[{'type': 'b2b', 'salary': {'from': 18000, 'to': 25000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/443ecdb694b893703ccf77c84ae3dca347aa9089.png?1624633123,"[{'name': 'TypeScript', 'level': 4}, {'name': 'Next.js', 'level': 5}, {'name': 'React', 'level': 5}]",False
PHP Laravel developer,Rydlówka 20,Kraków,PL,"Rydlówka 20, Kraków",php,remote,Codahead,http://codahead.com,50,mid,50.034961,19.9367149,2021-10-24 08:00:16.712000+00:00,True,codahead-fullstack-developer-node-js-react-krakow,"[{'type': 'b2b', 'salary': {'from': 9000, 'to': 17000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/9d0f22f41bd1b3e41303a4350cad2c559a73de9a.png?1625221876,"[{'name': 'PHP', 'level': 3}, {'name': 'OOP', 'level': 3}, {'name': 'English', 'level': 5}]",True
DATA SCIENTIST,Chmielna 89,Warszawa,PL,"Chmielna 89, Warszawa",data,partly_remote,PKO BP,https://www.pkobp.pl/kariera/,25000,senior,52.2268145,20.9922354,2021-10-24 08:00:16.712000+00:00,True,pko-bp-data-scientist,"[{'type': 'permanent', 'salary': None}]",https://bucket.justjoin.it/offers/company_logos/thumb/14c54b4b14c67fccaa9ba6d2be7c95809bf86ed8.png?1634196250,"[{'name': 'Spark', 'level': 3}, {'name': 'Python', 'level': 4}, {'name': 'SQL', 'level': 4}]",False
