title,street,city,country_code,address_text,marker_icon,workplace_type,company_name,company_url,company_size,experience_level,latitude,longitude,published_at,remote_interview,id,employment_types,company_logo_url,skills,remote
Flutter Developer,Górczewska 228/22,Warszawa,PL,"Górczewska 228/22, Warszawa",mobile,remote,itCraft,https://itcraftapps.com/,>100,mid,52.2400029,20.899961,2021-10-31 08:00:15.861000+00:00,True,itcraft-flutter-developer,"[{'type': 'b2b', 'salary': {'from': 8000, 'to': 16000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/ed500a33ca0f39bbab0aea02c89fe935fbb09e8f.jpg?1591176103,"[{'name': 'English', 'level': 4}, {'name': 'Mobile Development', 'level': 4}, {'name': 'Polish', 'level': 5}]",True
Product Designer,Marynarska 21,Warszawa,PL,"Marynarska 21, Warszawa",ux,remote,Fireart,https://fireart.studio/,>50,mid,52.1795629,20.994481,2021-10-31 08:00:15.861000+00:00,True,fireart-product-designer,"[{'type': 'b2b', 'salary': {'from': 6500, 'to': 10500, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/7e37f12608ada539309d0f4e26848ed66c0d666e.png?1602579201,"[{'name': 'English', 'level': 3}, {'name': 'Sketch/Figma', 'level': 4}, {'name': 'UX/UI Design', 'level': 4}]",True
Android/iOS Developer with Flutter,Towarowa 20,Bydgoszcz,PL,"Towarowa 20, Bydgoszcz",mobile,remote,itCraft,https://itcraftapps.com/,>100,mid,53.125391,18.0694589,2021-10-31 08:00:15.861000+00:00,True,itcraft-android-ios-flutter-developer,"[{'type': 'b2b', 'salary': {'from': 12000, 'to': 18000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/384180ea86b459870292668ae333fa97a31a0e7b.jpg?1607424089,"[{'name': 'Java', 'level': 4}, {'name': 'Android', 'level': 5}, {'name': 'iOS', 'level': 5}]",True
ServiceNow Solution Architect,"W. Rozdzieńskiego, 1a",Katowice,PL,"W. Rozdzieńskiego, 1a, Katowice",architecture,remote,Fujitsu Technology Solutions Sp. z o.o.,https://www.fujitsu.com/pl/,3000,senior,50.2648919,19.0237815,2021-10-31 08:00:15.861000+00:00,True,fujitsu-technology-solutions-sp-z-o-o-servicenow-solution-architect,"[{'type': 'permanent', 'salary': None}]",https://bucket.justjoin.it/offers/company_logos/thumb/b5483d1830f9cafa1f68b425289d70d1c016ab91.jpg?1625061586,"[{'name': 'ServiceNow', 'level': 4}]",True
JavaScript Developer with React,Oławska 27-29,Wrocław,PL,"Oławska 27-29, Wrocław",javascript,remote,Monterail,https://www.monterail.com/careers,100+,mid,51.1081049,17.0363529,2021-10-31 08:00:15.861000+00:00,True,monterail-javascript-developer-with-react,"[{'type': 'b2b', 'salary': {'from': 7000, 'to': 13500, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/e4fa287ec6ba82767eae70460c5fea887df48553.png?1625668907,"[{'name': 'React', 'level': 3}, {'name': 'JavaScript', 'level': 3}, {'name': 'English', 'level': 4}]",True
Senior Java Developer,-,Wrocław,PL,"-, Wrocław",java,remote,ITSG,https://itsg-global.com/,50 - 100,senior,51.1078852,17.0385376,2021-10-31 08:00:15.861000+00:00,True,itsg-senior-java-developer-wroclaw,"[{'type': 'b2b', 'salary': {'from': 22000, 'to': 25000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/0250d5f235de14fea58a4aef91ce4ba85181ec8f.jpg?1634802541,"[{'name': 'Hibernate', 'level': 3}, {'name': 'Spring', 'level': 3}, {'name': 'Java', 'level': 4}]",True
Senior PHP Engineer,Centrum,Warszawa,PL,"Centrum, Warszawa",php,remote,AUTO1,https://www.auto1.com/pl/,5000+,senior,52.2293895,21.0131979,2021-10-31 08:00:15.861000+00:00,True,auto1-senior-php-engineer-warszawa,"[{'type': 'b2b', 'salary': {'from': 16000, 'to': 21000, 'currency': 'pln'}}, {'type': 'permanent', 'salary': {'from': 14000, 'to': 19000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/7175536077e30db6bf5ee2d18a50aad48b223c1a.png?1634112229,"[{'name': 'Docker', 'level': 4}, {'name': 'SOLID Principles', 'level': 5}, {'name': 'PHP', 'level': 5}]",True
Junior Test Automation,Marszałkowska 126/134,Warszawa,PL,"Marszałkowska 126/134, Warszawa",testing,remote,System Verification,https://systemverification.com/en/,200+,junior,52.2347587,21.0097895,2021-10-31 08:00:15.861000+00:00,True,system-verification-junior-test-automation-8f550b37-7b0f-4ace-a9ef-bc186202d94d,"[{'type': 'b2b', 'salary': {'from': 8000, 'to': 16000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/c4304f3f56d915abcb9e984b55f7f1eb690d5932.jpg?1633939440,"[{'name': 'SQL', 'level': 2}, {'name': 'JIRA', 'level': 2}, {'name': 'UI', 'level': 3}]",True
Team Lead Software Engineer,Centrum,Kraków,PL,"Centrum, Kraków",java,remote,AUTO1,https://www.auto1-group.com/,5000+,senior,50.0761852,19.9587208,2021-10-31 08:00:15.861000+00:00,True,auto1-team-lead-software-engineer-krakow,"[{'type': 'b2b', 'salary': {'from': 22000, 'to': 28000, 'currency': 'pln'}}, {'type': 'permanent', 'salary': {'from': 20000, 'to': 26000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/f2360f1d5374d534b0806d501b28955331011a8e.png?1634112393,"[{'name': 'JVM', 'level': 4}, {'name': 'RESTful API', 'level': 5}, {'name': 'Java', 'level': 5}]",True
Senior Scrum Master,Aleja Niepodległości 124,Warszawa,PL,"Aleja Niepodległości 124, Warszawa",pm,remote,Startup House,https://start-up.house/,90+,senior,52.2033385,21.0106548,2021-10-31 08:00:15.861000+00:00,True,startup-house-senior-scrum-master,"[{'type': 'b2b', 'salary': {'from': 16000, 'to': 20000, 'currency': 'pln'}}]",https://bucket.justjoin.it/offers/company_logos/thumb/5ba855551d577bb2aa3c86c38f99921455b0313b.png?1628930278,"[{'name': 'Agile', 'level': 5}, {'name': 'Scrum Master', 'level': 5}, {'name': 'JIRA', 'level': 5}]",True
